2025-09-08 15:10:02.585 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句4]: [ngdwd.ro_v_gantry_d, ngdwd.ro_v_station_d, tmp.ai_base_gantry_info_tmp01] -> tmp.ai_base_gantry_info_tmp02_1
2025-09-08 15:10:02.596 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句7]: [tmp.ai_base_gantry_info_tmp02_1, tmp.ai_base_gantry_info_tmp01] -> tmp.ai_base_gantry_info_tmp02_2
2025-09-08 15:10:02.609 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句9]: [ngdwd.ro_gantry_d, tmp.ai_base_gantry_info_tmp01] -> tmp.ai_base_gantry_info_tmp02_3
2025-09-08 15:10:02.619 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句11]: [tmp.ai_base_gantry_info_tmp02_3, tmp.ai_base_gantry_info_tmp02_2, tmp.ai_base_gantry_info_tmp01] -> tmp.ai_base_gantry_info_tmp02_4
2025-09-08 15:10:02.637 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句13]: [tmp.ai_base_gantry_info_tmp02_4, tmp.ai_base_gantry_info_tmp01] -> tmp.ai_base_gantry_info_tmp02_5
2025-09-08 15:10:02.661 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句15]: [tmp.ai_base_gantry_info_tmp02_5, tmp.ai_base_gantry_info_tmp02_4] -> tmp.ai_base_gantry_info_tmp02
2025-09-08 15:10:02.665 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句17]: [ngods.ai_base_gantry_config] -> tmp.ai_base_gantry_info_tmp03
2025-09-08 15:10:02.707 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句19]: [tmp.ai_base_gantry_info_tmp01, tmp.ai_base_gantry_info_tmp03, tmp.ai_base_gantry_info_tmp02] -> tmp.ai_base_gantry_info_tmp05
2025-09-08 15:10:02.724 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句20]: [tmp.ai_base_gantry_info_tmp01, tmp.ai_base_gantry_info_tmp03, tmp.ai_base_gantry_info_tmp02] -> tmp.ai_base_gantry_info_tmp05
2025-09-08 15:10:02.738 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句22]: [tmp.ai_base_gantry_info_tmp05] -> ngdwd.ai_base_gantry_info
2025-09-08 15:10:02.738 [main] INFO  c.d.hive.lineage.SqlFileAnalysisMain - 正在使用 Catalyst 解析文件: hive_filter\ai_audit\ngdwd\sp_ai_base_lane_info.sql
2025-09-08 15:10:02.743 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句2]: [ngdwd.ai_base_lane_info] -> tmp.ai_base_lane_info_tmp_01
2025-09-08 15:10:02.746 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句4]: [ngdwd.ro_v_lane_d] -> tmp.ai_base_lane_info_tmp_02
2025-09-08 15:10:02.753 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句6]: [tmp.ai_base_lane_info_tmp_02, tmp.ai_base_lane_info_tmp_01] -> tmp.ai_base_lane_info_tmp_03
2025-09-08 15:10:02.756 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句7]: [tmp.ai_base_lane_info_tmp_02, tmp.ai_base_lane_info_tmp_01] -> tmp.ai_base_lane_info_tmp_03
2025-09-08 15:10:02.759 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句9]: [tmp.ai_base_lane_info_tmp_03] -> ngdwd.ai_base_lane_info
2025-09-08 15:10:02.759 [main] INFO  c.d.hive.lineage.SqlFileAnalysisMain - 正在使用 Catalyst 解析文件: hive_filter\ai_audit\ngdwd\sp_ai_base_station_info.sql
2025-09-08 15:10:02.763 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句2]: [ngdwd.ai_base_station_info] -> tmp.ai_base_station_info_tmp_01
2025-09-08 15:10:02.765 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句4]: [ngdwd.ro_v_station_d] -> tmp.ai_base_station_info_tmp_02
2025-09-08 15:10:02.768 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句6]: [ngdwd.ro_station_d] -> tmp.ai_base_station_info_tmp_03
2025-09-08 15:10:02.777 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句8]: [tmp.ai_base_station_info_tmp_01, tmp.ai_base_station_info_tmp_03, tmp.ai_base_station_info_tmp_02] -> tmp.ai_base_station_info_tmp_04
2025-09-08 15:10:02.783 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句9]: [tmp.ai_base_station_info_tmp_01, tmp.ai_base_station_info_tmp_03, tmp.ai_base_station_info_tmp_02] -> tmp.ai_base_station_info_tmp_04
2025-09-08 15:10:02.787 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句11]: [tmp.ai_base_station_info_tmp_04] -> ngdwd.ai_base_station_info
2025-09-08 15:10:02.787 [main] INFO  c.d.hive.lineage.SqlFileAnalysisMain - 正在使用 Catalyst 解析文件: hive_filter\ai_audit\ngdwd\sp_ai_base_unit_info.sql
2025-09-08 15:10:02.792 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句2]: [ngdwd.ai_base_unit_info] -> tmp.ai_base_unit_info_tmp_01
2025-09-08 15:10:02.814 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句4]: [ngods.oro_tollinterval, ngods.oro_sectionowner, ngods.oro_section] -> tmp.ai_base_unit_info_tmp_02
2025-09-08 15:10:02.822 [main] INFO  c.d.h.l.parser.SparkCatalystParser - 解析到血缘关系[语句6]: [tmp.ai_base_unit_info_tmp_01, tmp.ai_base_unit_info_tmp_02] -> tmp.ai_base_unit_info_tmp_04
